,,,,,,,
,,,,,,,
,,,,,,,
,Brgy,ALANG-ALANG,,,,DATE OF INVENTORY,
,111,mango," 10°20'1.44""N","123°56'48.16""E",23,24,
,112,lomboy," 10°20'1.18""N","123°56'48.11""E",47,28,
,113,lomboy," 10°20'0.81""N","123°56'47.94""E",78,44,
,114,talisay," 10°20'0.47""N","123°56'47.81""E",44,36,
,115,talisay," 10°20'0.48""N","123°56'47.79""E",48,36,
,116,talisay," 10°19'57.81""N","123°56'46.67""E",52,32,
,117,talisay," 10°19'57.63""N","123°56'46.63""E",34,20,
,118,calachuchi," 10°19'57.49""N","123°56'46.60""E",21,22,
,119,nem tree," 10°19'57.44""N","123°56'46.54""E",38,34,
,120,nem tree," 10°19'57.16""N","123°56'46.37""E",40,34,
,121,fire tree,"10°19'57.00""N","123°56'46.35""E",20,32,
,122,nem tree," 10°19'56.77""N","123°56'46.59""E",92,44,
,123,narra," 10°19'53.55""N","123°56'45.38""E",21,24,
,124,fire tree,"10°19'53.45""N","123°56'45.60""E",60,42,
,125,narra," 10°19'55.23""N","123°56'42.61""E",70,60,
,126,narra," 10°19'54.99""N","123°56'43.29""E",37,42,
,127,narra,"10°19'54.59""N","123°56'43.97""E",30,34,
,128,narra,"10°19'50.76""N","123°56'50.93""E",36,42,
,129,,,,,,
,130,,,,,,
,131,,,,,,
,132,,,,,,
,133,,,,,,
,134,,,,,,
,135,,,,,,
,136,,,,,,
,137,,,,,,
,138,,,,,,
,139,,,,,,
,140,,,,,,
,141,,,,,,
,142,,,,,,
,143,,,,,,
,144,,,,,,
,145,,,,,,
,146,,,,,,
,147,,,,,,
,148,,,,,,
,149,,,,,,
,150,,,,,,
,,,,,,,
,,total trees recorded,128,,,,
,,total species recorded,23,,,,
